degree,jp,text
0,牡羊座0-1,A Woman Just Risen From The Sea; A Seal Is Embracing Her
1,牡羊座1-2,A Comedian Reveals Human Nature
2,牡羊座2-3,"The Cameo Profile Of A Man, Suggesting The Shape Of His Country"
3,牡羊座3-4,Two Lovers Strolling On A Secluded Walk
4,牡羊座4-5,A Triangle With Wings
5,牡羊座5-6,"A Square, With One Of Its Sides Brightly Illumined"
6,牡羊座6-7,A Man Succeeds In Expressing Himself Simultaneously In Two Realms
7,牡羊座7-8,A Large Woman’s Hat With Streamers Blown By An East Wind
8,牡羊座8-9,A Crystal Gazer
9,牡羊座9-10,A Teacher Gives New Symbolic Forms To Traditional Images
10,牡羊座10-11,The Ruler Of A Nation
11,牡羊座11-12,A Triangularly Shaped Flight Of Wild Geese
12,牡羊座12-13,An Unexploded Bomb Reveals An Unsuccessful Social Protest
13,牡羊座13-14,A Serpent Coiling Near A Man And A Woman
14,牡羊座14-15,An Indian Weaving A Ceremonial Blanket
15,牡羊座15-16,Nature Spirits Are Seen At Work In The Light Of Sunset
16,牡羊座16-17,Two Dignified Spinsters Sitting In Silence
17,牡羊座17-18,An Empty Hammock Stretched Between Two Trees
18,牡羊座18-19,The “Magic Carpet” Of Oriental Imagery
19,牡羊座19-20,A Young Girl Feeding Birds In Winter
20,牡羊座20-21,A Pugilist Enters The Ring
21,牡羊座21-22,The Gate To The Garden Of All Fulfilled Desires
22,牡羊座22-23,A Pregnant Woman In Light Summer Dress
23,牡羊座23-24,"Blown Inward By The Wind, The Curtains Of An Open Window Take The Shape Of A Cornucopia"
24,牡羊座24-25,The Possibility For Man To Gain Experience At Two Levels Of Being
25,牡羊座25-26,A Man Possessed Of More Gifts Than He Can Hold
26,牡羊座26-27,Through Imagination A Lost Opportunity Is Regained
27,牡羊座27-28,A Large Audiences Confronts The Performer Who Disappointed Its Expectations
28,牡羊座28-29,The Music Of The Spheres
29,牡羊座29-30,A Duck Pond And Its Brood
30,牡牛座0-1,A Clear Mountain Stream
31,牡牛座1-2,An Electrical Storm
32,牡牛座2-3,Natural Steps Lead To A Lawn Of Clover In Bloom
33,牡牛座3-4,The Pot Of Gold At The End Of The Rainbow
34,牡牛座4-5,A Widow At An Open Grave
35,牡牛座5-6,Cantilever Bridge Across A Deep Gorge
36,牡牛座6-7,The Woman Of Samaria At The Ancestral Well
37,牡牛座7-8,A Sleigh On Land Uncovered By Snow
38,牡牛座8-9,A Fully Decorated Christmas Tree
39,牡牛座9-10,A Red Cross Nurse
40,牡牛座10-11,A Woman Watering Flowers In Her Garden.
41,牡牛座11-12,A Young Couple Window Shopping
42,牡牛座12-13,A Porter Carrying Heavy Baggage
43,牡牛座13-14,"On The Beach, Children Play While Shellfish Grope At The Edge Of The Water"
44,牡牛座14-15,"Head Covered With A Rakish Silk Hat, Muffled Against The Cold, A Man Braves A Storm"
45,牡牛座15-16,An Old Teacher Fails To Interest His Pupils In Traditional Knowledge
46,牡牛座16-17,A Symbolical Battle Between “Swords” And “Torches”
47,牡牛座17-18,A Woman Airing An Old Bag Through The Open Window Of Her Room
48,牡牛座18-19,A New Continent Rising Out Of The Ocean
49,牡牛座19-20,Wisps Of Winglike Clouds Streaming Across The Sky
50,牡牛座20-21,A Finger Pointing To A Line In An Open Book
51,牡牛座21-22,White Dove Flying Over Troubled Waters
52,牡牛座22-23,A Jewelry Shop Filled With Valuable Gems
53,牡牛座23-24,"An Indian Warrior Riding Fiercely, Human Scalps Hanging From His Belt"
54,牡牛座24-25,A Vast Public Park
55,牡牛座25-26,A Spanish Gallant Serenades His Beloved
56,牡牛座26-27,An Old Indian Woman Selling The Artifacts Of Her Tribe To Passerby
57,牡牛座27-28,"A Woman, Past Her “Change Of Life”, Experiences A New Love"
58,牡牛座28-29,Two Cobblers Working At A Table
59,牡牛座29-30,A Peacock Parading On The Terrace Of An Old Castle
60,双子座0-1,A Glass-Bottomed Boat Reveals Undersea Wonders
61,双子座1-2,Santa Claus Furtively Filling Stockings Hanging In Front Of Fireplace
62,双子座2-3,The Garden Of The Tuileries In Paris
63,双子座3-4,Holly And Mistletoe Reawaken Old Memories Of Christmas
64,双子座4-5,A Revolutionary Magazine Asking For Action
65,双子座5-6,Workmen Drilling For Oil
66,双子座6-7,A Well With Bucket And Rope Under The Shade Of Majestic Trees
67,双子座7-8,Aroused Strikers Surround A Factory
68,双子座8-9,A Quiver Filled With Arrows
69,双子座9-10,An Airplane Performing A Nose Dive
70,双子座10-11,Newly Opened Lands Offer The Pioneer New Opportunities For Experience
71,双子座11-12,A Negro Girl Fights For Her Independence In The City
72,双子座12-13,A Famous Pianist Giving A Concert Performance
73,双子座13-14,"Bridging Physical Space And Social Distinctions, Two Men Communicate Telepathically"
74,双子座14-15,"Two Dutch Children Talking To Each Other, Exchanging Their Knowledge"
75,双子座15-16,A Woman Activist In An Emotional Speech Dramatizing Her Cause
76,双子座16-17,The Head Of A Robust Youth Changes Into That Of A Mature Thinker
77,双子座17-18,Two Chinese Men Converse In Their Native Tongue In An American City
78,双子座18-19,A Large Archaic Volume Reveals A Traditional Wisdom
79,双子座19-20,"A Modern Cafeteria Displays An Abundance Of Food, Products Of Various Regions"
80,双子座20-21,A Tumultuous Labor Demonstration
81,双子座21-22,Dancing Couples In A Harvest Festival
82,双子座22-23,Three Fledglings In A Nest High In A Tree
83,双子座23-24,Children Skating Over A Frozen Village Pond
84,双子座24-25,A Gardener Trimming Large Palm Trees
85,双子座25-26,Frost-Covered Trees Against Winter Skies
86,双子座26-27,A Gypsy Emerging From The Forest Wherein Her Tribe Is Encamped
87,双子座27-28,"Through Bankruptcy, Society Gives To An Overburdened Individual The Opportunity To Begin Again"
88,双子座28-29,The First Mockingbird Of Spring
89,双子座29-30,A Parade Of Bathing Beauties Before Large Beach Crowds
90,蟹座0-1,On A Ship The Sailors Lower An Old Flag And Raise A New One
91,蟹座1-2,A Man On A Magic Carpet Hovers Over A Large Area Of Land
92,蟹座2-3,A Man Bundled In Fur Leads A Shaggy Deer
93,蟹座3-4,A Cat Arguing With A Mouse
94,蟹座4-5,"At A Railroad Crossing, An Automobile is Wrecked By A Train"
95,蟹座5-6,Game Birds Feathering Their Nests
96,蟹座6-7,Two Nature Spirits Dancing Under the Moonlight
97,蟹座7-8,A Group Of Rabbits Dressed in Human Clothes Walk As If On Parade
98,蟹座8-9,A Small Naked Girl Bends Over A Pond Trying To Catch A Fish
99,蟹座9-10,A Large Diamond In The First Stages Of The Cutting Process
100,蟹座10-11,A Clown Caricaturing Well-Known Personalities
101,蟹座11-12,A Chinese Woman Nursing A Baby Whose Aura Reveals Him To Be The Reincarnation Of A Great Teacher
102,蟹座12-13,A Hand With A Prominent Thumb Is Held Out For Study
103,蟹座13-14,A Very Old Man Facing A Vast Dark Space To The Northeast
104,蟹座14-15,In A Sumptuous Dining Hall Guests Relax After Partaking Of A Huge Banquet
105,蟹座15-16,"A Man Studying A Mandala In Front Of Him, With The Help Of A Very Ancient Book"
106,蟹座16-17,The Unfoldment Of Multilevel Potentialities Issuing From An Original Germ
107,蟹座17-18,A Hen Scratching The Ground To Find Nourishment For Her Progeny
108,蟹座18-19,A Priest Performing A Marriage Ceremony
109,蟹座19-20,Venetian Gondoliers Giving A Serenade
110,蟹座20-21,A Famous Singer Is Proving Her Virtuosity During An Operatic Performance
111,蟹座21-22,A Young Woman Awaiting A Sailboat
112,蟹座22-23,The Meeting Of A Literary Society
113,蟹座23-24,A Woman And Two Men Castaways On A Small Island Of The South Seas
114,蟹座24-25,A Willful Man Is Overshadowed By A Descent Of Superior Power
115,蟹座25-26,Guests Are Reading In The Library Of A Luxurious Home
116,蟹座26-27,A Violent Storm in A Canyon Filled With Expensive Homes
117,蟹座27-28,An Indian Girl Introduces Her White Lover To Her Assembled Tribe
118,蟹座28-29,A Greek Muse Weighing Newborn Twins In Golden Scales
119,蟹座29-30,A Daughter of The American Revolution
120,獅子座0-1,Blood Rushes To A Man’s Head As His Vital Energies Are Mobilized Under The Spur Of Ambition
121,獅子座1-2,An Epidemic Of Mumps
122,獅子座2-3,"A Middle-Aged Woman, Her Long Hair Flowing Over Her Shoulders And In A Braless Youthful Garment"
123,獅子座3-4,A Formally Dressed Elderly Man Stands Near Trophies He Brought Back From A Hunting Expedition
124,獅子座4-5,Rock Formations Tower Over A Deep Canyon
125,獅子座5-6,"A Conservative, Old-Fashioned Lady Is Confronted By A 'Hippie' Girl"
126,獅子座6-7,The Constellations Of Stars Shine Brilliantly In The Night Sky
127,獅子座7-8,A Communist Activist Spreading His Revolutionary Ideals
128,獅子座8-9,Glass Blowers Shape Beautiful Vases With Their Controlled Breathing
129,獅子座9-10,Early Morning Dew Sparkles As Sunlight Floods The Field
130,獅子座10-11,Children Play On A Swing Hanging From The Branches Of A Huge Oak Tree
131,獅子座11-12,An Evening Party Of Adults On A Lawn Illumined By Fancy Lanterns
132,獅子座12-13,An Old Sea Captain Rocking Himself On The Porch Of His Cottage
133,獅子座13-14,A Human Soul Seeking Opportunities For Outward Manifestation
134,獅子座14-15,"A Pageant, With Its Spectacular Floats, Moves Along A Street Crowded With Cheering People"
135,獅子座15-16,"The Storm Ended, All Nature Rejoices In Brilliant Sunshine"
136,獅子座16-17,A Volunteer Church Choir Singing Religious Hymns
137,獅子座17-18,A Chemist Conducts An Experiment For His Students
138,獅子座18-19,A Houseboat Party
139,獅子座19-20,Zuni Indians Perform A Ritual To The Sun
140,獅子座20-21,Intoxicated Chickens Dizzily Flap Their Wings Trying To Fly
141,獅子座21-22,A Carrier Pigeon Fulfilling Its Mission
142,獅子座22-23,In A Circus The Bareback Rider Displays Her Dangerous Skill
143,獅子座23-24,"Totally Concentrated Upon Inner Spiritual Attainment, A Man Is Sitting In A State Of Complete Neglect Of Bodily Appearance And Cleanliness"
144,獅子座24-25,A Large Camel Is Seen Crossing A Vast And Forbidding Desert
145,獅子座25-26,"After The Heavy Storm, A Rainbow"
146,獅子座26-27,The Luminescence Of Dawn In The Eastern Sky
